event_name,block_number,txhash,log_index,timestamp,id,proposer,targets,signatures,calldatas,startBlock,endBlock,description,voter,proposalId,support,votes,eta,contract_address
ProposalCreated,12686656,0x2aa57e6c477f9d993a4cf7855a3de33ee17d7f5837d8802a9a696dee7611193f,144,2021-06-22T22:07:36,1.0,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,['0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984'],"['transfer(address,uint256)']",[b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1c\x95\x93\r\xfc\x1198\x12e\xceE\xb5\xf4\x80\xf1\xef\xae\t\xa1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xd3\xc2\x1b\xce\xcc\xed\xa1\x00\x00\x00'],12686657.0,12726977.0,"# DeFi Education Fund

#### (Previously known as: DeFi Political Defense Fund)

Past discussion:

[Temperature Check ](https://gov.uniswap.org/t/temperature-check-funding-a-political-defense-of-defi/12557)| [Snapshot ](https://snapshot.org/#/uniswap/proposal/QmVXXEXJJKjFJtwXyy4Xx3gBckhz6TvorZoLgX3yiB7Hki)

[Consensus Check Thread 1](https://gov.uniswap.org/t/consensus-check-uni-should-fund-a-political-defense-organization-for-decentralized-finance/12700) | [Consensus Check Thread 2](https://gov.uniswap.org/t/consensus-check-uni-should-fund-a-political-defense-organization-for-decentralized-finance-copy/12717) | [Snapshot](https://snapshot.org/#/uniswap/proposal/QmaUPBYqkiKnwkaVNVrUDpD6fk5EXXTqJjn71qHNYW4YQn)

Proposal to allocate one million UNI to create and fund the “DeFi Education Fund,” a 501(c)(4) nonprofit entity based in the United States to provide grants for political, educational, and legal engagement. This proposal has passed the temperature and consensus checks with **[massive supermajorities](https://snapshot.org/#/uniswap/proposal/QmaUPBYqkiKnwkaVNVrUDpD6fk5EXXTqJjn71qHNYW4YQn)** after a month of healthy, spirited debate. Since the Temperature Check posted, the need for this fund has become even more apparent. We have incorporated much of the constructive feedback to balance transparency, effectiveness, and speed to further this entity’s important mission for the community.

The 501(c)(4) will fund education and advocacy through both existing advocacy organizations and potentially new ones. The funding will have the goals of 1) pushing back against misguided regulatory, legal, or political threats to decentralized finance; 2) achieving regulatory clarity for decentralized finance and related activity; 3) advancing laws that support decentralized finance and decentralized governance; and 4) spurring other DeFi protocols’ governance bodies to contribute to the effort (through this entity or their own). The entity will be nonpartisan and global in approach and orientation.

#### The DeFi Education Fund will fund all of the following:

* Policy-maker education: we need more people directly educating legislative and regulatory policymakers about DeFi and advocating for policy positions that favor DeFi and its participants;
* Thought leadership and research: we need more written and video content explaining DeFi and its benefits in a medium that positively impacts the public perception of DeFi;
* Legal firepower: we need to develop a strong bench of legal advocates in multiple jurisdictions and venues;
* Messaging: we need to better formulate ideas, prepare spokespeople, and communicate to policymakers and the general public on the benefits and promise of DeFi;
* Grassroots advocacy: we need to make it easy for individuals who already care about DeFi to voice their opinions to policymakers globally alongside organized efforts; and
* Best practices: we need more analysis and legal models for all DeFi projects to benefit from collectively.

This entity will not replicate the great work of existing organizations such as Coin Center, Fight for the Future, the Blockchain Association, the Crypto Council for Innovation, the Defi Alliance, Blockchain for Europe, or others. Rather, among other things, it will help to fund these and other organizations to expand their capabilities to more effectively advocate for and advance DeFi protocols.

Further, this entity will extend its monetary impact by conditioning some of its grants with matching by other governance treasuries, crypto foundations, or crowd-matching.

Grants administration for advocacy is a subjective process that cannot be easily automated, and thus we propose a grants committee overseen by an accountable entity. This committee will hire a grants-making leader or staff and create an efficient, predictable process for applicants.

We propose the following as the initial committee members, with a subset of them serving as the entity’s board of directors. All have expressed their willingness to join the committee:

1. Larry Sukernik, co-founder, Reverie.
2. Rebecca Rettig, General Counsel, Aave Companies.
3. Jake Chervinsky, General Counsel, Compound Labs & Strategic Advisor, Variant Fund.
4. Marc Boiron, General Counsel, dYdX Trading.
5. Katie Biber, Chief Legal Officer of Brex, Board of Directors of Anchorage.
6. Sheila Warren, World Economic Forum, Executive Committee (Cryptocurrency Lead).
7. Marvin Ammori, Chief Legal Officer, Uniswap Labs.

Due to the dynamic and somewhat unpredictable state of global policy proposals, we believe the grant-making committee should have considerable discretion to allow for flexibility and speed, subject to the necessary disclosure of its activities on a regular basis. We expect many members to serve pro bono and total compensation across the committee to be less than $150,000 annually.

The following changes have been incorporated due to community feedback:

* The name will focus on education rather than defense–the DeFi Education Fund.
* The scope is broadened to include the funding of organizations working to promote best regulatory practices among those in the DeFi ecosystem.
* Beyond the considerable disclosure required for a 501(c)(4), the entity will publicly post monthly community updates on progress, grant allocation, tactics, etc. These updates will not only ensure trust but will also keep the community informed on when and how they can lend their voice to the policy process. When there are surprises, as there so often have been in the policy space, the Committee will report why and how funds will be reallocated to address them.
* The 501(c)(4) will promptly hire at least one full-time staffer to manage the day-to-day operations of the organization with oversight from the board of directors and who will serve as the primary point of contact for the governance community.
* The 501(c)(4) will issue a detailed budget within 90 days of the proposal passing. Note that budgets, projections, and 5-year plans often must be revised and amended.

##### Multisig wallet address: 0x1C95930Dfc1139381265ce45B5f480F1EFae09A1
---
### A Word About Trust and the Multisig Wallet:

While we are thrilled the Consensus Check passed with [strong approval](https://snapshot.org/#/uniswap/proposal/QmaUPBYqkiKnwkaVNVrUDpD6fk5EXXTqJjn71qHNYW4YQn) (73% for, 27% against), it’s important to us that we operate this initiative in a way that even those who voted against can get behind.

In particular, there was feedback that the proposal asked for a lot of money upfront with little in the way of checks and balances. We believe that the structure does provide a lot in the way of checks and balances. Nonetheless, we detail some of the steps we took to add even more checks in the design of the proposal.

To safely and transparently hold the funds, a 4/7 multisig consisting of the seven committee members was created at the following address: 0x1C95930Dfc1139381265ce45B5f480F1EFae09A1. To be even more precise, here are the names and addresses of the seven multisig members:

* Jake Chervinsky | 0xdC856762b024814F6B5dc28e97e514e001D6820C | o/b/o Defi Education Fund
* Larry Sukernik | 0x773EE93E36bAaFa7F73B41ccC6800126829d3589 | o/b/o Defi Education Fund
* Rebecca Rettig | 0xcF8C946C6819dafE62f82803E01eB27Ea232825C | o/b/o Defi Education Fund
* Marc Boiron | 0x2132bEADc4D7b196249c1A746B8eeA91099bb1cE | o/b/o Defi Education Fund
* Marvin Ammori | 0xea067C58367D022a1c58354fE544C542c68587ec | o/b/o Defi Education Fund
* Katie Biber | 0xcB598f253818398f3d91595f22D897096e240Ae3 | o/b/o Defi Education Fund
* Sheila Warren | 0xbcAD071A51896666c3B48fC5Fd5A872981FB254E | o/b/o Defi Education Fund

While a multisig wallet goes a long way towards trustlessly holding funds, we think Tally’s new open-source product, [Failsafe](https://gov.uniswap.org/t/consensus-check-uni-should-fund-a-political-defense-organization-for-decentralized-finance/12700/67), would be helpful (fun fact: Failsafe was funded by the Uniswap Grants Program).

Simply put, Failsafe is an additional safety mechanism built on top of the multisig wallet that allows Uniswap tokenholders to (i) stop any multisig transaction from taking place, and (ii) request funds sitting in the multisig to be sent back to Uniswap’s treasury. We think this is a powerful product that all multisigs should use in the future.

Although we want to use Failsafe as soon as possible, the product is just entering its trial phase with the Uniswap Grants Committee and is in the process of receiving code audits. While that means we can’t use Failsafe from the get-go, the good news is Failsafe can be deployed on top of the multisig wallet after the fact. Once audited, we’d like to integrate it to allow UNI tokenholders to have the ultimate say over the funds.

The Committee plans to put roughly half of the total grant into the Failsafe, and begin disbursing half immediately. It will seek the Failsafe funds on a quarterly or annual basis when those funds need to be accessed. However, because the Failsafe is not ready yet, you should cast your votes as though you are approving all 1M upfront.
",,,,,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12686717,0x79117a731a46592afc0aa3c325e3aacf77ef142f9d7190811ccdcb8099a44cb4,105,2021-06-22T22:21:52,,,,,,,,,0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,1.0,True,3000000000000000000000000,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12686754,0x2f50259fa26fa6492a040261c859ee0f5faf6456f6b48db43cd26c6b5a7fa8bb,362,2021-06-22T22:29:07,,,,,,,,,0x04BCc6644c694608Be74fe716c37da670183E0F4,1.0,True,10000000000000000000,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12686838,0x2b153c52906d2bc3499b59bb93793c84626dba2bc41f228a004044d9061889c9,445,2021-06-22T22:52:44,,,,,,,,,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,1.0,True,10459327159557669870095428,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12686958,0x3db20e5083d635adacd8c95442888bf3a9e1d0eb835f73e7e26edbe5477ea72a,98,2021-06-22T23:25:01,,,,,,,,,0x283D37E46f7817610fA03fE8ecE875a2897A8df9,1.0,False,200000000000000000000,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12687159,0xc4f0234ec95e0ddf82910326ad1542e82128fe57245b0c7e0c90aab7698c8be4,358,2021-06-23T00:07:54,,,,,,,,,0x4A6E8D9Aacbe6c14b0e8fAebCE86fbf41f11bFB1,1.0,True,969584594759646008777,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12687223,0xd89003da9e7994bdafb6ff3545df456db61c6b4df77714a0feb88e614e08fd35,370,2021-06-23T00:19:50,,,,,,,,,0x76E059C6FF6bf9FFFD5f33AFdf4AB2FD511C9DF4,1.0,True,1113203408000353200,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12687746,0x53422c8ac3a7b2be1528d242079f092b694649b73f47bc9937081abb9c56cc22,184,2021-06-23T02:22:37,,,,,,,,,0xd02AE906edc339872b8300020Fc4411c4f4036e1,1.0,False,250000000000000000000,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12687942,0x0605045025ab0f5790bb9ebd2d45c6ce631e20d411f0e2f78e0e94e1194c4e7c,166,2021-06-23T03:02:46,,,,,,,,,0x07a1f6fc89223c5ebD4e4ddaE89Ac97629856A0f,1.0,True,88,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
VoteCast,12688103,0x840ef49f38d94f5f00480e2820168b474c4b89e6d40c26fa6ac0be946a17b045,419,2021-06-23T03:40:55,,,,,,,,,0xB0623C91c65621df716aB8aFE5f66656B21A9108,1.0,False,4922116552399275367793296,,0xC4e172459f1E7939D522503B81AFAaC1014CE6F6
