proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name
10.0,0xB0623C91c65621df716aB8aFE5f66656B21A9108,johnpalmer.eth,john_c_palmer,,"['lilnoun3.eth', 'noun111.eth', 'browsercompany.eth', 'noun292.eth', 'lilparty.eth', 'jpalmz.eth', 'lilnoun7.eth', 'gathertown.eth', 'partybuy.eth', 'shields.eth', 'icarly.eth', 'lilnoun9.eth', 'johnpalmer.eth', '100gecs.eth', 'partybid.eth', 'lilnoun1.eth', 'jcp.eth', 'lilnoun853.eth', 'b20.eth', 'noun98.eth', 'lilnoun2.eth', 'noun95.eth', 'deathsim.eth', 'spline.eth', 'dorianelectra.eth', 'lilnoun8.eth', 'jasoncalacanis.eth', 'lilnoun0.eth', 'lilnoun5.eth', 'lilnoun6.eth', 'heavensarena.eth', 'chainjail.eth', 'lifesim.eth']"
11.0,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[]
11.0,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[]
11.0,0x8962285fAac45a7CBc75380c484523Bb7c32d429,,Consensys,,[]
11.0,0xB0623C91c65621df716aB8aFE5f66656B21A9108,johnpalmer.eth,john_c_palmer,,"['lilnoun3.eth', 'noun111.eth', 'browsercompany.eth', 'noun292.eth', 'lilparty.eth', 'jpalmz.eth', 'lilnoun7.eth', 'gathertown.eth', 'partybuy.eth', 'shields.eth', 'icarly.eth', 'lilnoun9.eth', 'johnpalmer.eth', '100gecs.eth', 'partybid.eth', 'lilnoun1.eth', 'jcp.eth', 'lilnoun853.eth', 'b20.eth', 'noun98.eth', 'lilnoun2.eth', 'noun95.eth', 'deathsim.eth', 'spline.eth', 'dorianelectra.eth', 'lilnoun8.eth', 'jasoncalacanis.eth', 'lilnoun0.eth', 'lilnoun5.eth', 'lilnoun6.eth', 'heavensarena.eth', 'chainjail.eth', 'lifesim.eth']"
11.0,0x683a4F9915D6216f73d6Df50151725036bD26C02,,,Gauntlet,[]
13.0,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[]
13.0,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[]
13.0,0xB0623C91c65621df716aB8aFE5f66656B21A9108,johnpalmer.eth,john_c_palmer,,"['lilnoun3.eth', 'noun111.eth', 'browsercompany.eth', 'noun292.eth', 'lilparty.eth', 'jpalmz.eth', 'lilnoun7.eth', 'gathertown.eth', 'partybuy.eth', 'shields.eth', 'icarly.eth', 'lilnoun9.eth', 'johnpalmer.eth', '100gecs.eth', 'partybid.eth', 'lilnoun1.eth', 'jcp.eth', 'lilnoun853.eth', 'b20.eth', 'noun98.eth', 'lilnoun2.eth', 'noun95.eth', 'deathsim.eth', 'spline.eth', 'dorianelectra.eth', 'lilnoun8.eth', 'jasoncalacanis.eth', 'lilnoun0.eth', 'lilnoun5.eth', 'lilnoun6.eth', 'heavensarena.eth', 'chainjail.eth', 'lifesim.eth']"
13.0,0x88FB3D509fC49B515BFEb04e23f53ba339563981,,rleshner,Robert Leshner,['lesh.eth']
