platform,version,address
Uniswap,1,0x7e4A8391C728fEd9069B2962699AB416628B19Fa
Uniswap,1,0xe66F86c7d3dc600C90e7A688Dc79ce6f2b7a0E84
Uniswap,1,0x7aFF1d366D729887c8B64Ee6f32F0b22ee3c4521
Uniswap,1,0x870485C276157aEE5660Fcb67585c34d2Ed3B506
Uniswap,1,0xb83C28f8ecdEC14457B4e53D051635546FD2a20a
Uniswap,1,0x557847aA724eA004041522ee550e1aE14Ced6D7E
Uniswap,1,0xD5bFCbe3D18Ad3DA6E17B0Fdd93A7ca383859387
Uniswap,1,0x4714eFb0A03b5F78cC7BaB887494ba1F0B89fc11
Uniswap,1,0xaCe95175B107f0d6A7A2949F7Af83d7A3528fB4e
Uniswap,1,0x7eD52863829AB99354F3a0503A622e82AcD5F7d3
Uniswap,1,0x92E5A4B202F57B3634d6352fBAbBA9Cf2908a14A
Uniswap,1,0xD3C6ad9EdddD84728032e6D63155d62b427bdcDA
Uniswap,1,0x92247D26611b2c10276175557b4d423AA7ce9784
Uniswap,1,0xFBdE84ef4b3671136C434F0e713190dAc353d56c
Uniswap,1,0x5B93FF82faaF241c15997ea3975419DDDd8362c5
Uniswap,1,0x23614F922700c4fd49A5586D8FD1D433fedb8920
Uniswap,1,0x9b7b2B4f7a391b6F14A81221AE0920A9735B67Fb
Uniswap,1,0xCed2f0dcb70757339F7072A3ffA08a4A73497435
Uniswap,1,0x6133954CFC1748A4495d203214CF7d96c6Bb2c96
Uniswap,1,0x752aaB407594be29c9798d9443F0452339a97FF0
Uniswap,1,0x1835F021Bb2C206A860B5A40Efb0b91542edd9f4
Uniswap,1,0x31e00656EA570a88Ad311e67e2D3C6577F5F10BF
Uniswap,1,0x5cD3f55A8cA2598177c79eC962914778dC2ab060
Uniswap,1,0x6AcCCee5fe331b1FD9BC2363C7b5a6dfD34E4426
Uniswap,1,0x544e2dF1eAD3CDde014669f382d5Bd0535567158
Uniswap,1,0x6E90Fc0e1C03CCFaFa6275AcA82b2D7ef67241f7
Uniswap,1,0x23a18dA9b422515C1bF2019f97785934b7069219
Uniswap,1,0x2b622689Ab932F5c6f5D1D3279a138401230c3BD
Uniswap,1,0x2376c5cFc9e7BA8662ad8D0EB292BCE2c20e0106
Uniswap,1,0x808A023B72260170c95d831F589A1ae0DCa1e43E
Uniswap,1,0x17080B589CdCbd10EBeaa24cB0096f4BB29eB52B
