voter,compound_name,ens_name,sybil_name,category
0xd9fdd7314cc201bCb3A1a5455B4C458a76ecA718,,dorumuntean.eth,,
0x822B4457A36D6439E765BFdc47A9849d77d0dA5b,,cosmoqos.eth,,
0x6dA0a1784De1aBDDe1734bA37eCa3d560bf044c0,,mxjxn.eth,,
0x2202Eb2ed6fA68646fc65272186e8634CF25e37d,,infinitepay.eth,,
0x0be0eCC301a1c0175f07A66243cfF628c24DB852,,hiturunk.eth,HiturunkE,
0x98cf938Dc11707a454Ff46c149240E2da064F3cA,,kuster.eth,,
0x7c0BCF284549Dca0E465cF5F517004A118d6Fb32,,gapat.eth,,
0xAE5c9Dc28d008B95b1bb54941950Da7AB859aA23,,fengqi.eth,,
0xfb702e95Fa231C5509487a9E99156003985FdB9e,,ruz.eth,RuzhyoX,
0xb40ff1CA580090b386048228ae7140b0DDe7f1c5,,dotin.eth,,
0xD2Af803ad747ea12Acf5Ae468056703aE48785b5,,whaleshark.eth,,
0x1cA8beb62164721878008a37e5fBc632615e6f7e,,kazwes.eth,,
0x84861B33BA6C7aE0dC01E0E3192e74d133D9a13a,,daihelle.eth,,
0xf7c6382Da0A3ee08aD4c201b01E33e122600Ab6f,,separatist.eth,,
0x4391522a1cB89B3d9829697BF2167A1F73b93EF7,,bourland.eth,,
0xD950C92cB59C5a2BCebF0614A9B2e05D029b28FA,,,PhongNg60911665,
0x7f43909414ff1b9E8fCc531E87212378E4A3F9E4,,8ventures.eth,,
0xC5e1569772b2d425Ac9469d39F17341C01e1CF4c,,ston.eth,,
0x05935b37d38d374f4D27e63Dc7df2c8Ce687B0ec,,lorryxiong.eth,,
0x85c0c09570C955F6e07522E9ad6041716CbBb7fE,,dragonate.eth,,
0x34AAE6c409707a6cbDEef7B71806A67f07282970,,65537.eth,,
0x763d154916ba1fC303536FAf363802D093A3C5D7,,hira.eth,,
0x6516F67345e46F2C1A69d0aE8C8Dcb8F245d5daE,,yerry.eth,,
0x75311d6754094A733E9b1dfe205D73AEc4C26E2e,,dylan.eth,,
0x09B243De462292D5766De803075F380B3782Bf0F,,htowntyrel.eth,,
0xAa163c47065c22D17Ed1c47E3E244337D2056c17,,duckdegen.eth,,
0xcd8ed310678470682D72C50635a79eF9346ba4C4,,theshaman.eth,,
0x512C579153AC6fD961a7d9e7b19281B855AAfbE1,,1kingdom.eth,,
0x125f6f67e41B4d5674729aaCee15cD1CC153aBb3,,0x0000000000000000000000000000000000000000,,
0x547382ef49b2cd906e05b4685739AD241d636347,,edsel.eth,,
0xD34A7095B8aAd4A4A125a2bFaB003A030f319Fc3,,briskblackmamba.eth,,
0x9D31e30003f253563Ff108BC60B16Fdf2c93abb5,,pay.eth,,
0x116B429a32Dd2a397493b53b995706F81FCB7004,,almarri.eth,,
