proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
1,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
1,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth'],DeFi-app/company
2,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
2,0x8E4ED221fa034245F14205f781E0b13C5bd6a42E,,,,[],completely anonymous
3,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
3,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[],investment
4,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[],investment
4,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,,HarvardLawBFI,HarvardLawBFI,[],university
4,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[],UGP
4,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,jessewldn.eth,jessewldn,,[],founder
4,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
5,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,,HarvardLawBFI,HarvardLawBFI,[],university
1,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[],investment
1,0x6626593C237f530D15aE9980A95ef938Ac15c35c,,gauntletnetwork,Gauntlet,['gauntletnetworks.eth'],DeFi-app/company
1,0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2,,HarvardLawBFI,HarvardLawBFI,[],university
1,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[],UGP
1,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,jessewldn.eth,jessewldn,,[],founder
2,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[],investment
2,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[],UGP
2,0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,jessewldn.eth,jessewldn,,[],founder
2,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
2,0x458cEec48586a85fCFEb4A179706656eE321730E,,,Blockchain at Berkeley,[],university
2,0xEFF506a32B55D5c19847c1a4F8510c00280c27E5,,StanfordCrypto,Stanford Blockchain Club,[],university
3,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[],investment
3,0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1,kennethng.eth,nkennethk,,[],UGP
3,0x458cEec48586a85fCFEb4A179706656eE321730E,,,Blockchain at Berkeley,[],university
3,0xEFF506a32B55D5c19847c1a4F8510c00280c27E5,,StanfordCrypto,Stanford Blockchain Club,[],university
4,0x603F9f25ea89F465E36E2E9a9eB13289F0e7DaE8,aijia123456789.eth,,,['aijia123456789.eth'],
9,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,a16z,,[],investment
