proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
1,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[],investment
1,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[],Compound founder
1,0xE5A52921901C58971ba60725651Dc28bdE98BEB9,,,ParaFi Capital,[],investment
2,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[],investment
2,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[],Compound founder
2,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
3,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[],Compound founder
3,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[],DeFi-app/company
3,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[],Compound founder
3,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[],identified but anonymous
4,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[],DeFi-app/company
4,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[],identified but anonymous
4,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[],Compound founder
5,0xA1b61405791170833070C0eA61eD28728A840241,,,Paradigm,[],investment
5,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[],identified but anonymous
5,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[],Compound founder
6,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[],Compound founder
6,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
6,0x5d8908aFEE1DF9f7f0830105f8BE828F97Ce9e68,,argentHQ,Argent,[],DeFi-app/company
6,0x54A37d93E57c5DA659F508069Cf65A381b61E189,,,blck,[],identified but anonymous
6,0x3429Ac6eFffe28D870667cF3A963017666b6F481,,,Robert Leshner (Test Wallet),[],Compound founder
7,0xeD409c9fF60f3020abF9012bcd45Fc294f5608fF,,,Polychain Capital,[],investment
7,0x8169522c2C57883E8EF80C498aAB7820dA539806,,,Geoffrey Hayes,[],Compound founder
7,0x7e4A8391C728fEd9069B2962699AB416628B19Fa,,Dharma_HQ,Dharma,['dharma-staging.eth'],DeFi-app/company
