,voter,ens_nondatabase_name,sybil_name,ens_database_name
72,0x848F11E9c468be9EF6bF5F1Daa742e6ADF25D7A7,space.eth,,"['welyn.eth', 'leonardic.eth', 'mmorpg.eth', 'dhalucard.eth', 'el-salvador.eth', 'spardose.eth', 'rocketbeans.eth', 'erfolg.eth', 'space.eth', 'geerkens.eth', 'auxmoney.eth', 'time-capsule.eth', 'knossi.eth', 'beyer.eth', 'your-wallet.eth', 'cheat.eth']"
73,0x829d0F51a409A1Fe36042Fda26b4AcbD8c2DAe3F,faderaudi.eth,,['faderaudi.eth']
74,0x58bbB8D3c0c16b35c6d09A8306DD012b61911699,,,[]
75,0xfEBc300c1a955a30870282E1B1aA3EaCa7196C98,,,['pigia84.eth']
76,0xb3A2e95aD1A062aE4716E1568D8F80d2228461BC,,,[]
77,0x4a057736a3b46f874608E0712A753bC968d75831,,,[]
78,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,,[]
79,0xCb62542562b5Bdcfcf9B504165d3840604146aC8,rexdomini.eth,,"['redwolfeh.eth', 'ponyexpress.eth', 'idxmtile001.eth', 'cascadia.eth', 'financialrebel.eth', 'cryptocord.eth', 'robertorourke.eth', 'rexdomini.eth']"
80,0x30eB4c1A534351662C1AE273b8986862B60Fa079,zhangtao.eth,,"['arkverse.eth', 'esg.eth', 'doomhero.eth', 'noplan.eth', 'tianda.eth', 'youonlyliveonce.eth', 'opensmart.eth', 'espn.eth', 'xuehua.eth', 'sandbook.eth', 'arknights.eth', 'fanwan.eth', 'nworld.eth', 'theinfinitegarden.eth', 'dong.eth', 'longhu.eth', 'ampleforth.eth', 'gomoondao.eth', 'cccc.eth', 'sworld.eth', 'shihua.eth', 'koei.eth', 'sanguo.eth', 'ccb.eth', 'aworld.eth', 'beiyang.eth', 'hero.eth', 'zara.eth', 'uworld.eth', 'eworld.eth', 'yap.eth', 'xijiu.eth', 'picc.eth', 'arkproject.eth']"
81,0xc1EFC49285Eb5Deda2Ac887d613242475ed15048,yylai.eth,,['yylai.eth']
82,0x750171933E5AD548250712B077CE295a9Ab8Ffeb,,,['henryma.eth']
83,0xD6B5d1DCbA706A85e061994Db66AD7bbB3932C36,,,[]
84,0xB8d9b1EC1c1F8Bea7fB10450198c0B47D50c96b7,,,[]
85,0x477F2Acf9EB7F26DB3eCbf3a667CFFDC94AB3878,,,[]
86,0x4937080e1a0F96E1F1e1264dD91Dfdf04c09e8E7,,,[]
87,0x72Df072b91b570ce27D873497Fc7Bf11068Bb8c2,ziopat.eth,,['ziopat.eth']
88,0x5fb8B8d72A3986d9CEA5736675280C137b5e1F9A,,,[]
89,0x65b0BF8Ee4947edD2A500D74E50a3d757DC79de0,,,[]
90,0x63bB064c229636678f8E11165084373c2F49dff5,,,[]
91,0xdb33e85224B11765Eb1F1DD81c3Af181aE975962,,,[]
92,0x4C41AD07e4762b86eaE2f3fc14B95D5c8D800Bad,,,[]
93,0xe248e8E146482Ae90Dc02DaEd506d802A8c5eE9f,,,['temne.eth']
94,0xF25f26A42ADCB153B1966A4Bf5df6d0C9e27197f,,,[]
95,0x2f7a9223cA8ccfA212FF200E4928ffCA30786D16,oldstone.eth,,['oldstone.eth']
96,0x58f2413991651f4f259f8f604EFe65f97AFD30B0,,,[]
97,0xD19604eFb40EcE1EFD6Df5DE6D3892112B51e99a,,,[]
98,0x03d4695dF4B8D321d31c94dE8F430E3450F50498,,,['kellywilliams.eth']
99,0x87887cF0E37D937f989Ab76B99E4f4682DA044c4,,,[]
100,0x7a0E841abC23fC519190F756eaB2A7e5F1245679,,,[]
101,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,tommygotchi.eth,,"['tommygotchi.eth', 'marvinp.eth']"
102,0x08e5F4670B8E70fE77D952BA0fBBF9f4762aAF73,,,[]
103,0xB72eD8401892466Ea8aF528C1af1d0524bc5e105,gekko.eth,,"['bmf-capital.eth', 'gekko.eth']"
104,0x26A22514d3Ac0B05E2F4f04dF96EF302ba434cBE,h0neybad9er.eth,,"['badgerbunks.eth', 'h0neybad9er.eth', 'badgerpunk.eth']"
105,0x16731946f50416aCC945559a2cad0f7f070E8dfa,,,"['11168.eth', 'kobebeanbryant.eth', 'lilei.eth', '77521.eth', '6868.eth', 'tomoon.eth', '168168168.eth', 'michaeljosephjackson.eth', '77520.eth']"
106,0xd279B5263Dce6DcfaB8D7AAc5f605bA738416D3c,,,[]
107,0xFc8c4C30168b9a7d3E9740A266797455B21aE162,,,[]
108,0x1B883E3C8828A48FA8808b5139F90e678bD477A5,,,[]
109,0x3a1fA3e0814f73Ec278d59F383069b44b03d39B8,,,[]
110,0x01A45F7fbf7453092e49B6db137568F9cfAB8ead,toño.eth,,"['cryptopaisa.eth', 'tono.eth', 'centenario.eth', 'toño.eth', 'zumaya.eth', 'wagschal.eth']"
111,0x0e29F3582b78F3F5F5CB5F49D017A714B574C535,,,[]
112,0x959112b5a6261447080a8BfA78e9505576B9F85e,,,[]
113,0x7906ebbEa51bA731Ab6FE6D64a204f435D82cE16,,,[]
114,0xbd84F79296e794DbF9737bAFAFFFBb8a9e052C54,,,[]
115,0x68272302905258bC4947f01Ce06f3677E50c3b4b,,,[]
116,0x2fA213b3Cf6EFfC6963E2600342FaDEBA28247B8,,,[]
117,0x6ed611581F047BE8188c9EB085dF6022265885ec,ishai.eth,,['ishai.eth']
118,0x1e099eE2c144BD75cec2EE7C79B40F373bA086Ff,,,[]
119,0xb59b9EB003F10B1F6A69d7af551575F2fa1C3b2A,,,[]
120,0x478fa4C971a077038B4Fc5C172c3Af5552224ccc,,,[]
121,0x20718BCD0E16d2cAfF38F87B157Fd1B0d92Cc488,,,[]
122,0xCed2f0dcb70757339F7072A3ffA08a4A73497435,cryptorootz.eth,,"['winniethepooh.eth', '🌎👨🏿\u200d🚀🔫👨🏿\u200d🚀.eth', 'mobbdeep.eth', 'luthervandross.eth', 'blackmagik363.eth', 'robertoblake.eth', '🔥🌲😮\u200d💨.eth', 'bigiftrue.eth', 'mcdollaz.eth', 'cryptorootz.eth', 'rowdyrebel.eth', 'topsignals.eth', 'elonmarley.eth', 'macdre.eth', 'mulan.eth', 'billycarson.eth', 'fantano.eth', 'thecureonline.eth', 'tay-k.eth', 'marvingaye.eth', 'sugafree.eth', 'rogerrabbit.eth', 'keyglock.eth', 'youngdolph.eth']"
123,0x9073B943c749b85E83390c18cd45Df85dCd2E9Cc,donho.eth,,"['🌊🌊🌊🌊🌊🌊.eth', 'donhojr.eth', 'donho.eth']"
124,0x51818f70E1eBe21A54d1b1cEc3Cb3828639B5604,,,[]
125,0x952c822AC44ac3CbB0573d0dC3cCa4eA5f5B07d6,,,[]
126,0xeD69048310C973D46DF3BFC290820f722CB2533b,,,[]
127,0x1AEA7d104203dA58e0F55176e3a026b0bA9f22F3,,,[]
128,0x75a767802353282641C53718B7f0e9445b2787f0,,,[]
129,0xE09568554BA1820aF4cf5dbaCBc4dB1575167452,,,[]
130,0xDc1E5E4b8adAcB60Dc1726A66885cb3343eb654d,,,[]
131,0x5Fa6e0e05800093f90d371086aAAD3cBbA362c2A,,,[]
