proposalId,voter,nondatabase_ens_name,sybil_name,compound_api_name,database_ens_name,category
61.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
61.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
62.0,0x3596390E5FA968E053ed3375db7e4C04F384d0Ee,,,,[],other/anonymous
62.0,0xdD709cAE362972cb3B92DCeaD77127f7b8D58202,,,,"['defimaximalist.eth', 'activistinvestor.eth']",DeFi leader/builder
63.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
63.0,0x990daFE818681F8E18d14E2Ae7abD30aE46BF1c2,,,,[],other/anonymous
64.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
64.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
65.0,0xF1A39ccAa7B3E0a6f82C0806518925b54024F011,,,,[],other/anonymous
65.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
66.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
66.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
67.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
67.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
68.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
68.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
69.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
69.0,0xf63Ec662753B88c3634AE276ba4eA28D681478C8,metagov.index-coop.eth,,DeFi Pulse Index,[],DeFi-app/company
70.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
70.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
71.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
71.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
72.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
72.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
73.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
73.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
74.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
74.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
75.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
75.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
76.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
76.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
77.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
78.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
78.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
79.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
80.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
80.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
81.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
81.0,0xd2362DbB5Aa708Bc454Ce5C3F11050C016764fA6,,,,[],DeFi-app/company
82.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
82.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
82.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
83.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
83.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
84.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
85.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
85.0,0xc4a936B003BC223DF757B35Ee52f6Da66B062935,,,,[],other/anonymous
86.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
86.0,0xdd45542cCf17A16F5c515c20db7F7C7D8bB74Cc5,,,,[],other/anonymous
86.0,0x683a4F9915D6216f73d6Df50151725036bD26C02,,,Gauntlet,[],DeFi-app/company
87.0,0x5B3bFfC0bcF8D4cAEC873fDcF719F60725767c98,,llamacommunity_,,[],DeFi-app/company
87.0,0xc17cB209D5aBdb2d00f566a1E48F558DEBC264E1,,,,[],investment
88.0,0xaFDAbFb6227507fF6522b8a242168F6b5F353a6E,,,,[],other/anonymous
